,ID,Dates,city,Racer,Racer_1,LAST_RACER_SAME_AS_CURRENT_RACER,LAST_RACER_SAME_AS_CURRENT_RACER_BINARY,Speed_in_Secs,GANYAN_TRANS,GANYAN_TRANS_INT,RANK,AG_Percentage,AG_RANK_AMONG_GROUP,AG_RANKING_Score_Normalized,Ranking_Score_Normalized,First_Position_Percentage,Second_Position_Percentage,Third_Position_Percentage,Fourth_Position_Percentage,TOP_THREE_RACER_PERCENTAGE,RANK_LATEST_1ST,RANK_LATEST_2ND,RANK_LATEST_3RD,RANK_LATEST_4TH,RANK_LATEST_5TH,TOPLAM_RACES,TOPLAM_1ST,TOPLAM_2ND,TOPLAM_3RD,TOPLAM_4TH,BIRINCILIK_PERCENTAGE,IKINCILIK_PERCENTAGE,UCUNCULUK_PERCENTAGE,DORDUNCULUK_PERCENTAGE,SPEED_LATEST_1ST,SPEED_LATEST_2nd,SPEED_LATEST_3rd,SPEED_LATEST_4th,SPEED_LATEST_5th,RANK.1,Ranking_Score_Normalized.1,kosu,kosu_saati,at_yası,at_ana,at_baba,at_soyu,Mevsim,KG,K,DB,SK,SKG,GKR,YP,TGK,ÖG,SGKR,Winner
559,AIRCRAFT(1) KG  ,2015-09-14,Şanlıurfa,M.AVŞAR,M.AVŞAR,True,1,97.46,23.25,2325,10,1.0,9,25,18,9,9,9,9,27,10.0,10.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,13.3388,13.3511,0.0,0.0,0.0,10,18,6,akşam,2,d,e,de,sonbahar,1,0,0,0,0,0,0,0,0,0,0
560,BULUTHAN(9) DB  SK  ,2015-09-14,Bursa,Y.AKTAŞ,Y.AKTAŞ,True,1,143.72,31.65,3165,10,0.0,12,15,30,6,7,11,9,24,10.0,12.0,15.0,8.0,6.0,34,1,4,6,3,2,11,17,8,14.6117,15.4457,14.4043,15.7252,15.6393,10,30,4,öğle,4,d,a,da,sonbahar,0,0,1,1,0,0,0,0,0,0,0
561,IRONHIR(5) SK  GKR  ,2015-09-14,Şanlıurfa,N.ALTIN,H.ALTUNKILIÇ,False,0,85.85,8.2,819,11,4.0,6,50,9,13,12,11,10,36,17.0,11.0,12.0,10.0,5.0,24,1,2,3,2,4,8,12,8,0.0,13.9779,13.7512,13.6939,15.2174,11,9,4,akşam,3,d,e,de,sonbahar,0,0,0,1,0,1,0,0,0,0,0
562,AKKUŞKAYA(8) KG  K  ,2015-09-14,Şanlıurfa,M.MENDİRME,M.MENDİRME,True,1,108.35,41.25,4125,12,0.0,11,8,0,2,5,2,4,9,12.0,11.0,10.0,12.0,12.0,5,0,0,0,0,0,0,0,0,11.9982,11.8624,12.1803,11.9463,11.8133,12,0,3,akşam,3,k,e,ke,sonbahar,1,1,0,0,0,0,0,0,0,0,0
563,BÜYÜLÜTAY(1) KG  DB  SK  ,2015-09-14,Bursa,İ.KALE,İ.KALE,True,1,136.95,4.6,459,7,10.0,5,69,53,6,6,6,9,18,7.0,5.0,4.0,6.0,2.0,31,3,8,3,2,9,25,9,6,13.8737,13.6342,13.446,13.4201,13.7571,7,53,2,öğle,5,d,a,da,sonbahar,1,0,1,1,0,0,0,0,0,0,0
564,RANDAL(11) KG  K  ,2015-09-14,Şanlıurfa,UFUK AKAY,UFUK AKAY,True,1,99.44,8.25,825,12,5.0,6,50,0,7,8,10,9,25,12.0,6.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,13.0732,13.3645,0.0,0.0,0.0,12,0,2,akşam,2,d,d,dd,sonbahar,1,1,0,0,0,0,0,0,0,0,0
565,BABABİRBAY(2) KG  SK  ,2015-09-14,Şanlıurfa,R.DOĞAN,R.DOĞAN,True,1,88.89,3.75,375,6,10.0,4,66,54,8,9,10,10,27,6.0,5.0,4.0,0.0,0.0,3,0,0,0,1,0,0,0,33,14.6248,14.9222,14.9477,0.0,0.0,6,54,2,akşam,2,d,e,de,sonbahar,1,0,0,1,0,0,0,0,0,0,0
566,BOLD BLACK(10) KG  SK  ,2015-09-15,Diyarbakır,H.ALTUNKILIÇ,H.ALTUNKILIÇ,True,1,130.27,8.4,840,10,3.0,8,50,35,10,10,10,10,30,10.0,6.0,8.0,6.0,5.0,18,1,0,0,0,5,0,0,0,13.8175,14.6825,15.7693,15.8827,14.3205,10,35,9,akşam,4,d,a,da,sonbahar,1,0,0,1,0,0,0,0,0,0,0
567,SEKVENS(2) KG  ,2015-09-15,Diyarbakır,Y.TANER,Y.TANER,True,1,138.16,32.6,3260,14,1.0,13,14,7,5,6,7,7,18,14.0,13.0,11.0,7.0,4.0,30,1,2,6,4,3,6,20,13,13.0284,14.4578,12.091,14.1,14.2526,14,7,9,akşam,4,d,k,dk,sonbahar,1,0,0,0,0,0,0,0,0,0,0
568,ONLY SON(5) DB  SK  ,2015-09-16,İstanbul,S.KAYA,S.KAYA,True,1,99.42,11.25,1125,6,4.0,7,62,68,22,17,14,11,53,6.0,4.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,50,16.0933,16.1082,0.0,0.0,0.0,6,68,8,akşam,2,d,e,de,sonbahar,0,0,1,1,0,0,0,0,0,0,0
569,SHEEN(15) KG  ,2015-09-15,Diyarbakır,R.DOĞAN,R.DOĞAN,True,1,129.2,12.1,1210,8,2.0,12,21,50,8,9,10,10,27,8.0,11.0,9.0,9.0,5.0,40,1,1,5,7,2,2,12,17,13.9319,14.977,14.1064,15.2342,14.7047,8,50,9,akşam,4,d,a,da,sonbahar,1,0,0,0,0,0,0,0,0,0,0
570,IMPREZZA(16) KG  DB  ,2015-09-15,Adana,H.PARILDAR,H.PARILDAR,True,1,101.75,77.2,7720,13,0.0,15,12,25,5,7,7,8,19,13.0,10.0,6.0,8.0,11.0,5,0,0,0,0,0,0,0,0,14.742,15.4811,15.2117,15.71,15.829,13,25,9,akşam,3,d,d,dd,sonbahar,1,0,1,0,0,0,0,0,0,0,0
571,HALFETİ CESUR(5) KG  DB  ,2015-09-15,Diyarbakır,N.ALTIN,N.ALTIN,True,1,93.9,12.1,1210,9,3.0,7,57,42,13,12,11,10,36,9.0,15.0,5.0,9.0,10.0,29,1,2,0,2,3,6,0,6,12.7796,12.7741,13.567,12.4967,14.7292,9,42,8,öğle,4,a,a,aa,sonbahar,1,0,1,0,0,0,0,0,0,0,0
572,DELİ ULUCAN(1) DB  SKG  SK  ,2015-09-15,Diyarbakır,C.TEPE,C.TEPE,True,1,89.21,4.6,459,5,7.0,4,78,71,8,8,7,8,23,5.0,5.0,12.0,3.0,5.0,12,2,0,1,0,16,0,8,0,13.4514,13.3437,10.2987,13.2865,11.489,5,71,8,öğle,4,a,a,aa,sonbahar,0,0,1,1,1,0,0,0,0,0,0
573,BEST COMMANDER(4) SK  ,2015-09-15,Diyarbakır,M.ÜNLÜ,M.ÜNLÜ,True,1,134.26,5.3,530,8,15.0,2,92,50,9,9,10,10,28,8.0,1.0,13.0,7.0,4.0,78,5,16,9,14,6,20,11,17,14.1516,14.8357,12.8197,14.7868,13.6126,8,50,7,öğle,6,a,a,aa,sonbahar,0,0,0,1,0,0,0,0,0,0,0
574,LİDERBEY(10) DB  ,2015-09-17,Ankara,U.İRTİŞ,U.İRTİŞ,True,1,139.01,56.25,5625,13,0.0,11,35,25,2,2,4,3,8,13.0,11.0,9.0,0.0,0.0,3,0,0,0,0,0,0,0,0,13.6681,12.8113,14.0056,0.0,0.0,13,25,7,öğle,4,a,a,aa,sonbahar,0,0,1,0,0,0,0,0,0,0,0
575,AMİRA(7) K  ,2015-09-16,İstanbul,M.MANAV,M.MANAV,True,1,136.95,31.85,3185,7,1.0,8,56,62,8,8,9,9,25,7.0,11.0,7.0,12.0,9.0,16,1,1,0,1,6,6,0,6,15.3341,15.3631,15.0856,15.7729,15.1177,7,62,4,akşam,4,a,k,ak,sonbahar,0,1,0,0,0,0,0,0,0,0,0
576,BİZİM BAŞAK(7) KG  DB  ,2015-09-16,İstanbul,M.MANAV,M.MANAV,True,1,90.41,21.75,2175,12,1.0,11,37,31,8,8,9,9,25,12.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,13.2729,0.0,0.0,0.0,0.0,12,31,3,öğle,3,d,d,dd,sonbahar,1,0,1,0,0,0,0,0,0,0,0
577,OĞLUM BARAN(7),2015-09-15,Diyarbakır,R.DOĞAN,R.DOĞAN,True,1,89.4,16.1,1610,13,1.0,13,14,14,8,9,10,10,27,13.0,9.0,12.0,5.0,6.0,5,0,0,0,0,0,0,0,0,13.4228,13.2949,13.929,14.0028,14.7783,13,14,5,öğle,3,d,e,de,sonbahar,0,0,0,0,0,0,0,0,0,0,0
578,VILLAGE BOY(8) KG  DB  ,2015-09-15,Diyarbakır,F.YARDIMCI,F.YARDIMCI,True,1,87.82,29.05,2905,12,1.0,11,28,21,12,10,10,9,32,12.0,10.0,10.0,8.0,17.0,10,0,0,0,0,0,0,0,0,13.6643,13.1743,13.7999,14.4853,14.4509,12,21,5,öğle,3,d,e,de,sonbahar,1,0,1,0,0,0,0,0,0,0,0
579,ARŞİV(11) SK  ,2015-09-15,Adana,M.KESKİN,M.KESKİN,True,1,87.9,18.85,1885,15,1.0,11,37,12,8,8,8,9,24,15.0,10.0,5.0,9.0,3.0,6,0,0,2,0,0,0,33,0,13.6519,12.7458,13.743,13.7947,14.7275,15,12,5,akşam,4,a,k,ak,sonbahar,0,0,0,1,0,0,0,0,0,0,0
580,KINGS SHADOW(5) KG  SK  ,2015-09-15,Diyarbakır,N.ALTIN,N.ALTIN,True,1,85.6,6.75,675,11,6.0,8,50,28,13,12,11,10,36,11.0,6.0,9.0,5.0,0.0,4,0,0,0,0,0,0,0,0,14.0187,13.4839,13.0766,14.3266,0.0,11,28,5,öğle,3,d,e,de,sonbahar,1,0,0,1,0,0,0,0,0,0,0
581,NECROMACER(6) KG  SK  ,2015-09-15,Diyarbakır,MEH.DOĞAN,MEH.DOĞAN,True,1,83.01,26.3,2630,10,1.0,12,21,35,10,6,8,6,24,10.0,9.0,14.0,12.0,9.0,5,0,0,0,0,0,0,0,0,14.4561,13.7352,15.1041,14.7742,14.9301,10,35,5,öğle,3,d,e,de,sonbahar,1,0,0,1,0,0,0,0,0,0,0
582,BURGAZ GÜZELİ(2) KG  DB  SK  ,2015-09-15,Adana,H.İ.AKKAYA,H.İ.AKKAYA,True,1,84.46,15.05,1505,12,1.0,10,43,31,7,7,9,10,23,12.0,10.0,11.0,9.0,13.0,35,5,6,1,4,14,17,2,11,14.2079,13.9447,13.9846,13.2159,13.5528,12,31,5,akşam,5,k,k,kk,sonbahar,1,0,1,1,0,0,0,0,0,0,0
583,HANZADEGÜL(9) SKG  SK  ,2015-09-15,Diyarbakır,H.SARIDAL,H.SARIDAL,True,1,80.83,6.5,650,6,7.0,6,64,64,5,6,8,8,19,6.0,8.0,7.0,4.0,6.0,35,0,2,7,7,0,5,20,20,14.845999999999998,13.6975,13.3899,14.5926,14.7742,6,64,5,öğle,3,a,d,ad,sonbahar,0,0,0,1,1,0,0,0,0,0,0
584,HAYALET BİR(7) KG  K  DB  ,2015-09-16,Elazığ,C.TEPE,V.DEMİR,False,0,110.41,16.2,1620,7,2.0,8,19,39,8,8,7,8,23,15.0,7.0,6.0,9.0,5.0,25,1,0,2,2,4,0,8,8,0.0,13.5857,14.5507,13.2494,13.6116,7,39,6,öğle,3,d,d,dd,sonbahar,1,1,1,0,0,0,0,0,0,0,0
585,KAYLAKIZ(10) KG  SK  ,2015-09-15,Diyarbakır,Y.TANER,UFUK AKAY,False,0,80.82,6.85,685,5,9.0,5,71,71,5,6,7,7,18,12.0,5.0,5.0,5.0,5.0,19,0,0,1,0,0,0,5,0,0.0,14.8478,14.110999999999999,13.2916,13.0764,5,71,5,öğle,3,d,d,dd,sonbahar,1,0,0,1,0,0,0,0,0,0,0
586,ÖZÇETİN(4) KG  DB  ,2015-09-15,Adana,MÜS.ÇELİK,MÜS.ÇELİK,True,1,80.96,4.8,480,8,11.0,4,81,56,14,13,13,12,40,8.0,6.0,6.0,9.0,8.0,80,6,8,8,14,7,10,10,17,14.8221,13.6147,14.4049,14.2708,14.7353,8,56,5,akşam,6,a,k,ak,sonbahar,1,0,1,0,0,0,0,0,0,0,0
587,İKİBİNDOKUZ(12) KG  SK  ,2015-09-15,Adana,H.KILIÇARSLAN,H.KILIÇARSLAN,True,1,80.25,8.7,869,3,4.0,8,56,87,7,8,9,10,24,3.0,9.0,11.0,5.0,8.0,29,1,3,3,2,3,10,10,6,14.9533,14.395,14.5424,14.1643,13.8857,3,87,5,akşam,6,a,k,ak,sonbahar,1,0,0,1,0,0,0,0,0,0,0
588,TANERCAN(6) KG  DB  ,2015-09-16,Elazığ,MEH.TAŞKAYA,MEH.TAŞKAYA,True,1,131.07,3.25,325,5,9.0,4,60,60,10,10,9,10,29,5.0,10.0,1.0,6.0,11.0,20,4,2,1,1,20,10,5,5,12.2072,11.3854,12.2496,12.7173,11.187000000000001,5,60,5,öğle,4,k,a,ka,sonbahar,1,0,1,0,0,0,0,0,0,0,0
589,GÖNLÜZENGİN(11) KG  SK  ,2015-09-15,Adana,MAHMUT TURAN,MAHMUT TURAN,True,1,93.13,5.85,585,15,10.0,4,81,12,8,9,10,10,27,15.0,2.0,7.0,5.0,1.0,11,1,2,1,1,9,18,9,9,13.959000000000001,14.8148,14.5596,13.2202,14.6771,15,12,4,akşam,3,a,d,ad,sonbahar,1,0,0,1,0,0,0,0,0,0,0
590,EZONEHİR(10),2015-09-16,İstanbul,Ö.YILDIRIM,Ö.YILDIRIM,True,1,85.32,7.1,710,8,8.0,4,81,56,15,13,12,11,40,8.0,6.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,14.0647,14.5688,0.0,0.0,0.0,8,56,1,öğle,3,k,d,kd,sonbahar,0,0,0,0,0,0,0,0,0,0,0
591,HAFO(1) KG  SK  ,2015-09-17,Ankara,H.KARATAŞ,H.KARATAŞ,True,1,98.57,1.7,170,1,29.0,1,94,100,27,19,15,11,61,1.0,4.0,2.0,6.0,3.0,10,4,1,2,1,40,10,20,10,14.2031,13.954,14.0619,13.8972,14.3232,1,100,4,öğle,3,a,d,ad,sonbahar,1,0,0,1,0,0,0,0,0,0,1
592,SUGARLY(13) KG  DB  SK  ,2015-09-15,Diyarbakır,M.ÜNLÜ,M.ÜNLÜ,True,1,86.56,15.45,1545,11,1.0,9,42,28,9,9,10,10,28,11.0,13.0,13.0,12.0,4.0,11,0,0,0,1,0,0,0,9,13.8632,12.6671,15.5494,14.7769,15.8346,11,28,3,öğle,3,d,d,dd,sonbahar,1,0,1,1,0,0,0,0,0,0,0
593,MAMOSTE(3),2015-09-16,Elazığ,B.TEPE,B.TEPE,True,1,85.41,15.9,1590,7,1.0,8,19,39,6,8,7,9,21,7.0,7.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,14.0499,12.7954,0.0,0.0,0.0,7,39,3,öğle,2,d,e,de,sonbahar,0,0,0,0,0,0,0,0,0,0,0
594,İKİNCİ ZORRO(8) KG  GKR  ,2015-09-15,Adana,D.TAŞ,D.TAŞ,True,1,135.99,4.05,405,10,14.0,3,87,43,2,2,3,1,7,10.0,3.0,7.0,4.0,11.0,22,1,0,1,2,4,0,4,9,13.9716,14.9925,14.4951,14.4974,13.5083,10,43,3,akşam,4,a,a,aa,sonbahar,1,0,0,0,0,1,0,0,0,0,0
595,BUSELİ(2) KG  DB  ,2015-09-15,Diyarbakır,İ.DİLBER,İ.DİLBER,True,1,167.81,4.85,484,9,9.0,4,78,42,6,8,11,9,25,9.0,5.0,9.0,4.0,9.0,90,8,5,10,9,8,5,11,10,11.9182,12.2579,12.4461,12.2582,11.5269,9,42,2,öğle,7,a,k,ak,sonbahar,1,0,1,0,0,0,0,0,0,0,0
596,HIRÇIN TAY(8),2015-09-15,Diyarbakır,N.ALTIN,N.ALTIN,True,1,160.71,3.0,300,7,16.0,3,85,57,13,12,11,10,36,7.0,5.0,8.0,4.0,7.0,70,5,2,4,9,7,2,5,12,12.4448,13.8135,13.5213,13.8147,14.5039,7,57,2,öğle,6,a,k,ak,sonbahar,0,0,0,0,0,0,0,0,0,0,0
597,MY RIVER SIDE(13) KG  DB  SK  ,2015-09-15,Diyarbakır,N.ALTIN,N.ALTIN,True,1,86.93,19.0,1900,13,3.0,9,42,14,13,12,11,10,36,13.0,12.0,10.0,10.0,10.0,15,0,1,1,1,0,6,6,6,13.8042,15.065,15.460999999999999,15.8259,15.8121,13,14,1,öğle,3,d,d,dd,sonbahar,1,0,1,1,0,0,0,0,0,0,0
598,CEYHAN EXPRESS(8) SKG  SK  ,2015-09-16,Elazığ,C.TEPE,C.TEPE,True,1,121.75,8.45,844,8,0.0,0,100,29,8,8,7,8,23,8.0,8.0,7.0,8.0,4.0,19,1,2,0,5,5,10,0,26,13.1417,14.6771,15.3767,13.2554,15.452,8,29,1,öğle,4,d,a,da,sonbahar,0,0,0,1,1,0,0,0,0,0,0
599,BERLOTSUN(2) DB  SKG  SK  ,2015-09-15,Diyarbakır,BURAK AKÇAY,BURAK AKÇAY,True,1,99.94,35.05,3504,14,1.0,14,7,7,9,9,9,9,27,14.0,14.0,9.0,0.0,0.0,3,0,0,0,0,0,0,0,0,12.0072,0.0,15.2138,0.0,0.0,14,7,1,öğle,3,d,e,de,sonbahar,0,0,1,1,1,0,0,0,0,0,0
600,DEMİR YUMRUK(4) KG  K  ,2015-09-15,Diyarbakır,R.DOĞAN,R.DOĞAN,True,1,85.88,35.65,3565,12,1.0,13,14,21,8,9,10,10,27,12.0,10.0,12.0,10.0,9.0,6,0,0,0,0,0,0,0,0,13.972999999999999,13.3841,14.4894,15.1887,13.0302,12,21,1,öğle,3,a,e,ae,sonbahar,1,1,0,0,0,0,0,0,0,0,0
601,BATDUŞ(6),2015-09-17,Kocaeli,A.C. İNAN,A.C. İNAN,True,1,117.95,4.5,450,9,0.0,0,100,27,10,9,9,9,28,9.0,3.0,5.0,6.0,3.0,6,0,0,2,1,0,0,33,16,11.8694,13.2494,13.0321,13.4695,13.3571,9,27,1,akşam,3,a,d,ad,sonbahar,0,0,0,0,0,0,0,0,0,0,0
602,BIG CHIEF(3) DB  SKG  SK  ,2015-09-15,Diyarbakır,S.KAPLAN,S.KAPLAN,True,1,84.71,5.95,595,11,4.0,7,57,28,8,8,7,9,23,11.0,8.0,9.0,5.0,0.0,4,0,0,0,0,0,0,0,0,14.165999999999999,13.2428,15.6635,15.7999,0.0,11,28,1,öğle,3,d,e,de,sonbahar,0,0,1,1,1,0,0,0,0,0,0
603,HEIMDALL(5) SK  ,2015-09-15,Diyarbakır,D.ÇELİK,D.ÇELİK,True,1,83.6,10.6,1060,10,5.0,6,64,35,9,9,7,8,25,10.0,5.0,5.0,6.0,6.0,7,0,0,0,1,0,0,0,14,14.3541,15.0282,13.8262,12.5203,11.9746,10,35,1,öğle,3,a,e,ae,sonbahar,0,0,0,1,0,0,0,0,0,0,0
604,CAN DRAGON(17) K  DB  SKG  ,2015-09-18,Bursa,T.ALICI,T.ALICI,True,1,89.42,19.45,1945,12,1.0,14,18,31,7,8,8,10,23,12.0,11.0,1.0,7.0,6.0,9,1,0,0,1,11,0,0,11,15.6565,15.8091,16.1031,16.1464,16.2152,12,31,10,akşam,3,a,e,ae,sonbahar,0,1,1,0,1,0,0,0,0,0,0
605,YANİNAM(13) KG  K  DB  ,2015-09-18,Bursa,İ.KALE,İ.KALE,True,1,83.01,61.45,6145,10,0.0,11,37,43,6,6,6,9,18,10.0,11.0,11.0,5.0,0.0,4,0,0,0,0,0,0,0,0,14.4561,14.0268,14.2029,0.0,0.0,10,43,9,öğle,3,k,d,kd,sonbahar,1,1,1,0,0,0,0,0,0,0,0
606,PELİNKIZ(7) KG  DB  ,2015-09-18,Bursa,M.GÜNER,M.GÜNER,True,1,88.58,41.4,4140,13,0.0,12,31,25,6,3,4,4,13,13.0,14.0,13.0,7.0,9.0,6,0,0,0,0,0,0,0,0,13.5471,13.9545,12.5689,13.5786,13.5117,13,25,9,öğle,3,a,d,ad,sonbahar,1,0,1,0,0,0,0,0,0,0,0
607,GREEN WITCH(7),2015-09-22,Adana,A.C. İNAN,A.C. İNAN,True,1,121.11,7.7,770,7,6.0,8,46,57,10,9,9,9,28,7.0,3.0,6.0,4.0,6.0,37,7,2,6,3,18,5,16,8,15.6882,16.0973,16.3532,15.8339,15.9691,7,57,8,akşam,5,a,k,ak,sonbahar,0,0,0,0,0,0,0,0,0,0,0
608,SELİMSİN(10) K  DB  SKG  ,2015-09-23,Elazığ,H.DEMİRTAŞ,H.DEMİRTAŞ,True,1,137.75,12.7,1270,11,3.0,10,16,16,6,8,7,8,21,11.0,5.0,5.0,6.0,4.0,19,1,0,2,2,5,0,10,10,13.0672,14.0213,13.9361,14.3198,13.2494,11,16,8,akşam,3,a,e,ae,sonbahar,0,1,1,0,1,0,0,0,0,0,0
609,APRICOT GIRL(12) K  DB  ,2015-09-22,Adana,S.ERKUŞ,S.ERKUŞ,True,1,76.74,27.3,2730,5,1.0,11,26,71,8,9,9,10,26,5.0,5.0,8.0,12.0,13.0,5,0,0,0,0,0,0,0,0,15.6372,15.372,15.148,15.163,15.2886,5,71,7,akşam,3,a,d,ad,sonbahar,0,1,1,0,0,0,0,0,0,0,0
610,KÜÇÜK ÜTÜCÜ(2) DB  ,2015-09-22,Diyarbakır,B.TEPE,B.TEPE,True,1,126.87,8.6,860,8,6.0,5,61,46,6,8,7,9,21,8.0,7.0,9.0,10.0,8.0,72,6,6,12,8,8,8,16,11,13.3995,13.624,12.9005,13.6437,15.1499,8,46,6,öğle,5,a,k,ak,sonbahar,0,0,1,0,0,0,0,0,0,0,0
611,BUSINESS KID(4),2015-09-22,Diyarbakır,MAHMUT TURAN,MAHMUT TURAN,True,1,147.0,18.0,1800,14,3.0,10,23,0,8,9,10,10,27,14.0,3.0,10.0,9.0,4.0,51,10,4,6,6,19,7,11,11,13.6054,14.7522,13.3859,14.7638,14.2045,14,0,4,öğle,6,d,a,da,sonbahar,0,0,0,0,0,0,0,0,0,0,0
612,SANTO DOMINGO(11) KG  SK  ,2015-09-22,Diyarbakır,S.KAPLAN,S.KAPLAN,True,1,146.3,30.05,3005,13,1.0,13,0,7,8,8,7,9,23,13.0,5.0,10.0,11.0,9.0,65,14,10,9,3,21,15,13,4,13.6705,14.7016,12.6627,13.1122,14.4526,13,7,4,öğle,7,d,a,da,sonbahar,1,0,0,1,0,0,0,0,0,0,0
613,BEYPOLAT(11) KG  DB  ,2015-09-23,Elazığ,N.ALTIN,N.ALTIN,True,1,97.8,3.85,385,10,12.0,3,75,25,13,12,11,10,36,10.0,0.0,4.0,9.0,2.0,21,5,4,1,2,23,19,4,9,12.2699,12.985999999999999,14.232000000000001,14.505,14.213,10,25,4,öğle,4,k,a,ka,sonbahar,1,0,1,0,0,0,0,0,0,0,0
614,ŞÜKRANCAN(8) KG  DB  SK  ,2015-09-22,Adana,E.SİNCAN,E.SİNCAN,True,1,89.96,18.1,1810,9,2.0,9,40,42,6,7,8,8,21,9.0,4.0,13.0,7.0,12.0,14,2,0,0,2,14,0,0,14,14.4509,14.7761,0.0,12.0523,13.5051,9,42,4,akşam,3,a,d,ad,sonbahar,1,0,1,1,0,0,0,0,0,0,0
615,MELDEGÜLÜ(11) KG  DB  ,2015-09-18,Bursa,R.CİHAN,R.CİHAN,True,1,119.29,8.35,835,10,4.0,6,68,43,7,10,11,10,28,10.0,5.0,10.0,9.0,10.0,13,0,2,2,1,0,15,15,7,14.251,14.8192,13.913,13.4219,14.5138,10,43,2,öğle,4,k,k,kk,sonbahar,1,0,1,0,0,0,0,0,0,0,0
616,KOZAN SULTANI(9) KG  K  ,2015-09-22,Diyarbakır,B.TEPE,B.TEPE,True,1,137.46,22.0,2200,10,1.0,8,38,30,6,8,7,9,21,10.0,7.0,14.0,15.0,10.0,24,2,0,4,3,8,0,16,12,13.0947,14.5879,12.4581,13.5924,14.8796,10,30,3,öğle,3,d,d,dd,sonbahar,1,1,0,0,0,0,0,0,0,0,0
617,MELANUR(10) KG  K  ,2015-09-22,Diyarbakır,H.ŞANLI,H.ŞANLI,True,1,133.25,17.55,1755,9,1.0,9,30,38,6,5,6,8,17,9.0,7.0,9.0,5.0,9.0,17,0,0,1,1,0,0,5,5,13.5084,14.8166,11.8659,13.9136,10.5577,9,38,3,öğle,3,k,d,kd,sonbahar,1,1,0,0,0,0,0,0,0,0,0
618,MUNZURBEYİ(8) KG  SK  ,2015-09-22,Adana,EYÜP SOFİ,EYÜP SOFİ,True,1,110.93,19.9,1989,6,2.0,9,40,64,1,1,2,2,4,6.0,6.0,6.0,5.0,10.0,23,1,1,0,3,4,4,0,13,13.522,14.1812,13.7463,14.0937,13.5423,6,64,3,akşam,4,k,a,ka,sonbahar,1,0,0,1,0,0,0,0,0,0,0
619,SONUFUK(11) KG  DB  SK  ,2015-09-23,Elazığ,BURAK AKÇAY,B.YEŞİLBUDAK,False,0,123.34,23.1,2310,8,1.0,12,0,41,9,9,9,9,27,7.0,8.0,6.0,9.0,6.0,19,0,1,0,2,0,5,0,10,0.0,12.1615,12.1573,13.0251,12.0857,8,41,3,öğle,5,a,a,aa,sonbahar,1,0,1,1,0,0,0,0,0,0,0
620,TANSAYGIN(6) KG  K  ,2015-09-22,Adana,MEH.YILDIRIM,MEH.YILDIRIM,True,1,107.87,1.9,190,2,35.0,1,93,92,7,10,7,7,24,2.0,3.0,9.0,11.0,8.0,27,5,5,5,1,18,18,18,3,13.9056,13.962,13.852,13.6759,13.5831,2,92,3,akşam,5,k,a,ka,sonbahar,1,1,0,0,0,0,0,0,0,0,0
621,LION OF KAFKAS(8) SKG  SK  ,2015-09-22,Adana,V.KIZMAZ,V.KIZMAZ,True,1,86.56,9.7,969,9,0.0,0,100,42,9,10,10,10,29,9.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,13.8632,0.0,0.0,0.0,0.0,9,42,1,öğle,2,d,d,dd,sonbahar,0,0,0,1,1,0,0,0,0,0,0
622,İLKAYHAN(5) KG  K  ,2015-09-22,Diyarbakır,K.SARI,K.SARI,True,1,137.1,7.95,795,3,0.0,0,100,84,0,3,3,9,6,3.0,5.0,12.0,8.0,12.0,72,5,12,5,5,6,16,6,6,13.1291,12.7124,13.3067,14.1243,13.3709,3,84,1,öğle,6,k,a,ka,sonbahar,1,1,0,0,0,0,0,0,0,0,0
623,ŞALT APAY(12) K  ,2015-09-19,Ankara,N.ŞEN,H.İ.AKÇAY,False,0,90.97,17.75,1775,21,2.0,11,50,0,11,11,11,11,33,15.0,21.0,9.0,8.0,10.0,11,1,0,0,1,9,0,0,9,0.0,15.3897,15.444,15.2781,14.3812,21,0,10,akşam,3,d,d,dd,sonbahar,0,1,0,0,0,0,0,0,0,0,0
624,ADASTRALINA(5) SKG  SK  ÖG  ,2015-09-19,Ankara,M.BAYIR,M.BAYIR,True,1,90.94,12.85,1285,20,4.0,6,75,5,10,10,11,10,31,20.0,9.0,4.0,9.0,14.0,12,1,1,1,1,8,8,8,8,15.3948,15.2548,16.5661,16.1906,16.0495,20,5,10,akşam,3,a,d,ad,sonbahar,0,0,0,1,1,0,0,0,1,0,0
625,CİNCORTA(7),2015-09-20,Adana,O.BULUT,O.BULUT,True,1,129.93,95.65,9565,15,1.0,15,0,0,7,8,8,9,23,15.0,14.0,14.0,11.0,3.0,34,4,4,7,4,11,11,20,11,13.8536,14.2074,14.2523,14.7895,14.1607,15,0,9,akşam,5,k,k,kk,sonbahar,0,0,0,0,0,0,0,0,0,0,0
